time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-20 00:00:00+00:00,4,4,,
2024-01-21 00:00:00+00:00,4,4,45.0,1.0
2024-01-22 00:00:00+00:00,4,4,2.0,1.0
2024-01-23 00:00:00+00:00,3,3,16.0,2.0
2024-01-24 00:00:00+00:00,3,3,,
2024-01-25 00:00:00+00:00,3,3,4.0,3.0
2024-01-26 00:00:00+00:00,3,3,,
2024-01-27 00:00:00+00:00,4,4,,
2024-01-28 00:00:00+00:00,3,3,,
2024-01-29 00:00:00+00:00,4,4,,
2024-01-30 00:00:00+00:00,6,5,4.0,1.0
2024-01-31 00:00:00+00:00,7,6,6.0,2.0
2024-02-01 00:00:00+00:00,3,3,1.0,1.0
